date,M0_YoY,M1_YoY,M2_YoY,CPI_YoY,PPI_YoY,PMI,M1_M2_scissors,M1_YoY_roll_mean,M1_YoY_roll_std,M2_YoY_roll_mean,M2_YoY_roll_std,M1_M2_scissors_roll_mean,M1_M2_scissors_roll_std,PPI_YoY_roll_mean,PPI_YoY_roll_std,CPI_YoY_roll_mean,CPI_YoY_roll_std
2006-01-31,,,,,3.05,,,,,,,,,,,,
2006-02-28,,,,,3.01,,,,,,,,,,,,
2006-03-31,,,,,2.49,,,,,,,,,,,,
2006-04-30,,,,,1.87,,,,,,,,,,,,
2006-05-31,,,,,2.43,,,,,,,,,,,,
2006-06-30,,,,,3.52,,,,,,,,,,,,
2006-07-31,,,,,3.58,,,,,,,,,,,,
2006-08-31,,,,,3.4,,,,,,,,,,,,
2006-09-30,,,,,3.45,,,,,,,,,,,,
2006-10-31,,,,,2.9,,,,,,,,,,,,
2006-11-30,,,,,2.78,,,,,,,,,,,,
2006-12-31,,,,,3.05,,,,,,,,,,,,
2007-01-31,,,,,3.3,,,,,,,,,2.9608333333333334,0.5113521884240457,,
2007-02-28,,,,,2.6,,,,,,,,,2.986923076923077,0.49853760499058014,,
2007-03-31,,,,,2.65,,,,,,,,,2.959285714285714,0.49001513768947513,,
2007-04-30,,,,,2.87,,,,,,,,,2.9386666666666668,0.47889555477259593,,
2007-05-31,,,,,2.76,,,,,,,,,2.934375,0.462975431313585,,
2007-06-30,,,,,2.49,,,,,,,,,2.9241176470588237,0.450264628073445,,
2007-07-31,,,,,2.39,,,,,,,,,2.9000000000000004,0.4486450188525183,,
2007-08-31,,,,,2.56,,,,,,,,,2.8731578947368424,0.45143047491746785,,
2007-09-30,,,,,2.71,,,,,,,,,2.8575,0.44493494497865405,,
2007-10-31,,,,,3.21,,,,,,,,,2.8504761904761904,0.43486177333120685,,
2007-11-30,,,,,4.55,,,,,,,,,2.8668181818181817,0.43124831388088725,,
2007-12-31,,,,,5.43,,,,,,,,,2.9400000000000004,0.5483611948342079,,
2008-01-31,31.21,20.54,18.88,7.0781,6.07,53.0,1.6600000000000001,,,,,,,3.0437499999999997,0.7388934882352949,,
2008-02-29,5.96,18.95,17.39,8.7443,6.62,53.4,1.5599999999999987,,,,,,,3.1648,0.9431556958777627,,
2008-03-31,11.12,17.97,16.19,8.3097,7.95,58.4,1.7799999999999976,,,,,,,3.2976923076923077,1.1459190466775835,,
2008-04-30,10.7,19.05,16.94,8.4829,8.12,59.2,2.1099999999999994,,,,,,,3.4699999999999998,1.4367511427362243,,
2008-05-31,12.88,17.93,18.07,7.7163,8.22,53.3,-0.14000000000000057,,,,,,,3.636071428571429,1.6613344464186441,,
2008-06-30,12.28,14.19,17.37,7.0844,8.84,52.0,-3.1800000000000015,,,,,,,3.794137931034483,1.8401155189695864,,
2008-07-31,12.3,13.96,16.35,6.302,10.03,48.4,-2.3900000000000006,,,,,,,3.9623333333333335,2.02927485491286,,
2008-08-31,10.89,11.48,16.0,4.9001,10.06,48.4,-4.52,,,,,,,4.158064516129032,2.273394553459413,,
2008-09-30,9.28,9.43,15.29,4.6425,9.13,51.2,-5.859999999999999,,,,,,,4.3425,2.467818678966926,,
2008-10-31,10.59,8.85,15.02,3.9744,6.59,44.6,-6.17,,,,,,,4.487575757575757,2.567949121262713,,
2008-11-30,9.04,6.8,14.8,2.434,1.99,38.8,-8.0,,,,,,,4.549411764705883,2.5543177244487723,,
2008-12-31,12.65,9.06,17.82,1.1999,-1.14,41.2,-8.76,,,,,,,4.476285714285714,2.5533900023697282,,
2009-01-31,12.02,6.68,18.79,0.95,-3.35,45.3,-12.11,14.0175,4.8054687123583,16.676666666666666,1.2846246946328734,-2.659166666666667,4.015609222053663,4.320277777777778,2.685089502217875,5.905716666666667,2.471879798428473
2009-02-28,8.28,10.87,20.48,-1.5582,-4.47,49.0,-9.610000000000001,13.453076923076923,5.030865373895072,16.83923076923077,1.3624577151754187,-3.3861538461538463,4.6531701352617985,4.1425,2.968508403703305,5.524507692307693,2.7368176642655424
2009-03-31,10.88,17.04,25.51,-1.1714,-5.99,52.4,-8.470000000000002,13.268571428571429,4.882551125641746,17.099285714285717,1.631042442902528,-3.8307142857142864,4.770045096199848,3.9347222222222222,3.2939767421428128,5.0186,3.2399383075798034
2009-04-30,11.26,17.48,25.95,-1.5,-6.6,53.5,-8.469999999999999,13.520000000000001,4.8046584537449535,17.66,2.680724848671663,-4.140000000000001,4.75004812005701,3.6991666666666663,3.6807424522778014,4.605933333333334,3.507393175374935
2009-05-31,11.24,18.69,25.74,-1.3713,-7.2,53.1,-7.049999999999997,13.7675,4.7461415908082625,18.178125,3.316995063306545,-4.4106250000000005,4.714930142642624,3.4638888888888895,4.0528982770906605,4.2243125,3.7164280962370313
2009-06-30,11.46,24.79,28.46,-1.7,-7.8,53.2,-3.6700000000000017,14.057058823529411,4.747983472888624,18.62294117647059,3.698438462219361,-4.565882352941177,4.609873993429117,3.196388888888889,4.423905935952836,3.8951588235294112,3.845830776155333
2009-07-31,11.59,26.37,28.42,-1.8057,-8.22,53.3,-2.0500000000000007,14.653333333333332,5.255192390276832,19.169444444444444,4.271980491559087,-4.516111111111112,4.4772170175480905,2.8819444444444446,4.787601140711252,3.584316666666667,3.9572214016239466
2009-08-31,11.52,27.72,28.53,-1.2043,-7.86,54.0,-0.8100000000000023,15.27,5.771312194331931,19.656315789473684,4.662592519816408,-4.386315789473684,4.387701512341456,2.5541666666666663,5.130128026806794,3.300631578947369,4.0396399253801265
2009-09-30,15.96,29.51,29.31,-0.7883,-6.99,54.3,0.20000000000000284,15.892500000000002,6.269379113890323,20.1,4.953047971757015,-4.2075000000000005,4.3449012768143715,2.241388888888889,5.412564827867932,3.075385,4.058883183090354
2009-10-31,14.09,32.03,29.42,-0.53,-5.85,55.2,2.6099999999999994,16.540952380952383,6.79486269527347,20.53857142857143,5.229272689116797,-3.9976190476190476,4.342730598093675,1.9513888888888888,5.621604322498174,2.8914,4.044955641783974
2009-11-30,14.99,34.63,29.74,0.56,-2.08,55.2,4.890000000000004,17.245,7.407874671108924,20.942272727272726,5.443214151861955,-3.6972727272727273,4.466074426072721,1.708333333333333,5.766703192837803,2.7358818181818183,4.014303064298289
2009-12-31,11.77,32.35,27.68,1.8559,1.7,56.6,4.670000000000002,18.00086956521739,8.094628360857294,21.324782608695653,5.625570572730793,-3.323913043478261,4.716495944246626,1.5733333333333333,5.79770200781556,2.6412782608695653,3.9481631313534473
