,date,series,value,score,method,M1_YoY,M2_YoY,M1_M2_scissors,PPI_YoY,CPI_YoY,n_methods
75,2009-09-30,M1_YoY,29.51,9.286490416449837,stl,,,,,,1
76,2009-09-30,M2_YoY,29.31,21.293166207696046,stl,,,,,,1
77,2009-09-30,PPI_YoY,-6.99,-8.512853154429154,stl,,,,,,1
78,2009-10-31,CPI_YoY,-0.53,-7.2969084146902805,stl,,,,,,1
79,2009-10-31,M2_YoY,29.42,14.695156510114852,stl,,,,,,1
80,2009-10-31,PPI_YoY,-5.85,-8.348539081768761,stl,,,,,,1
81,2009-11-30,ALL (multi-variable),,-0.056417280407083825,iforest,34.63,29.74,4.890000000000004,-2.08,0.56,2
82,2009-11-30,M2_YoY,29.74,10.942667610165268,stl,,,,,,2
83,2009-11-30,PPI_YoY,-2.08,-5.918954495558894,stl,,,,,,2
84,2009-12-31,ALL (multi-variable),,-0.07160227420705612,iforest,32.35,27.68,4.670000000000002,1.7,1.8559,1
85,2010-01-31,ALL (multi-variable),,-0.10914832159023813,iforest,38.96,25.98,12.98,4.32,1.53,3
86,2010-01-31,M1_M2_scissors,12.98,3.2640638767294106,zscore,,,,,,3
87,2010-01-31,M1_M2_scissors,12.98,14.813703214381032,stl,,,,,,3
88,2010-01-31,M1_YoY,38.96,12.58997232841813,stl,,,,,,3
89,2010-02-28,ALL (multi-variable),,-0.03546019100081155,iforest,34.99,25.52,9.470000000000002,5.39,2.6953,2
90,2010-02-28,M1_M2_scissors,9.470000000000002,9.25825932689239,stl,,,,,,2
91,2010-02-28,M1_YoY,34.99,8.636846841419318,stl,,,,,,2
92,2010-02-28,M2_YoY,25.52,5.548076248765898,stl,,,,,,2
93,2010-03-31,ALL (multi-variable),,-0.003096761944026194,iforest,29.94,22.5,7.440000000000001,5.91,2.3707,2
94,2010-03-31,M1_M2_scissors,7.440000000000001,6.8833208653245075,stl,,,,,,2
95,2010-03-31,M1_YoY,29.94,3.566710562123193,stl,,,,,,2
96,2010-04-30,M1_M2_scissors,9.77,9.517416616735245,stl,,,,,,1
97,2010-04-30,M1_YoY,31.25,6.282547185137468,stl,,,,,,1
98,2010-05-31,M1_M2_scissors,8.899999999999999,9.166334722501603,stl,,,,,,1
99,2010-05-31,M1_YoY,29.9,5.87477752135695,stl,,,,,,1
100,2010-06-30,M1_M2_scissors,6.100000000000001,7.338961407507127,stl,,,,,,1
101,2010-06-30,M2_YoY,18.5,-6.971972334846114,stl,,,,,,1
102,2010-07-31,M1_M2_scissors,5.299999999999997,5.7228473828930495,stl,,,,,,1
103,2010-07-31,M2_YoY,17.6,-5.733715328626851,stl,,,,,,1
104,2010-09-30,M1_YoY,20.9,3.6927281402198027,stl,,,,,,1
105,2010-11-30,CPI_YoY,5.1192,3.909569877362127,stl,,,,,,1
106,2011-01-31,ALL (multi-variable),,-5.293155371144387e-05,iforest,13.6,17.2,-3.6,6.6436,4.9121,1
107,2011-06-30,CPI_YoY,6.3553,5.386462881949622,stl,,,,,,1
108,2011-07-31,CPI_YoY,6.4508,5.680292838945017,stl,,,,,,1
109,2011-07-31,PPI_YoY,7.5417,5.784808032481055,stl,,,,,,1
110,2011-08-31,CPI_YoY,6.1514,5.0794159624492385,stl,,,,,,1
111,2011-08-31,PPI_YoY,7.2528,6.597832571617869,stl,,,,,,1
112,2011-09-30,CPI_YoY,6.0671,5.218236768343232,stl,,,,,,1
113,2011-09-30,M2_YoY,13.04,-5.171612494306374,stl,,,,,,1
114,2011-09-30,PPI_YoY,6.5227,6.319810337131455,stl,,,,,,1
115,2011-10-31,M2_YoY,12.9,-5.6716746525829285,stl,,,,,,1
116,2011-10-31,PPI_YoY,5.0038,4.206392528577283,stl,,,,,,1
117,2011-11-30,M2_YoY,12.7,-6.4409044084983424,stl,,,,,,1
118,2011-12-31,M2_YoY,13.6,-4.752704946629081,stl,,,,,,1
119,2012-01-31,M2_YoY,12.4,-4.385158891270414,stl,,,,,,1
120,2012-10-31,CPI_YoY,1.7,-3.8423683835519173,stl,,,,,,1
121,2013-01-31,M1_M2_scissors,-0.5999999999999996,9.250198787905266,stl,,,,,,1
122,2013-01-31,M1_YoY,15.3,10.416380240642027,stl,,,,,,1
123,2013-01-31,M2_YoY,15.9,5.963490668457708,stl,,,,,,1
124,2013-02-28,M1_YoY,9.5,4.54359432749372,stl,,,,,,1
125,2013-02-28,M2_YoY,15.2,4.846815406661961,stl,,,,,,1
126,2013-03-31,M1_M2_scissors,-3.799999999999999,4.0034348996757165,stl,,,,,,1
127,2013-03-31,M1_YoY,11.9,7.246962326606646,stl,,,,,,1
128,2013-03-31,M2_YoY,15.7,6.383986555626263,stl,,,,,,1
129,2013-04-30,M1_M2_scissors,-4.200000000000001,4.025223675471559,stl,,,,,,1
130,2013-04-30,M1_YoY,11.9,7.305271277080514,stl,,,,,,1
131,2013-04-30,M2_YoY,16.1,6.5416469165567435,stl,,,,,,1
132,2013-05-31,M1_YoY,11.3,5.855393274483291,stl,,,,,,1
133,2013-05-31,M2_YoY,15.8,4.928217016800883,stl,,,,,,1
134,2014-01-31,M1_M2_scissors,-12.0,-6.534132809516431,stl,,,,,,1
135,2014-01-31,M1_YoY,1.2,-8.235779297080871,stl,,,,,,1
136,2014-06-30,M2_YoY,14.7,5.193082213671755,stl,,,,,,1
137,2014-10-31,M1_M2_scissors,-9.4,-3.8260054181452503,stl,,,,,,1
138,2014-10-31,M1_YoY,3.2,-4.9898034324152984,stl,,,,,,1
139,2014-11-30,M1_M2_scissors,-9.1,-4.29901501682082,stl,,,,,,1
140,2014-11-30,M1_YoY,3.2,-5.104929992523685,stl,,,,,,1
141,2014-12-31,M1_M2_scissors,-9.0,-4.132359602631657,stl,,,,,,1
142,2014-12-31,M1_YoY,3.2,-4.474991671387802,stl,,,,,,1
143,2015-01-31,M1_M2_scissors,-0.200000000000001,2.9796313814492077,zscore,,,,,,2
144,2015-01-31,M1_M2_scissors,-0.200000000000001,4.064732107434387,stl,,,,,,2
145,2015-01-31,M2_YoY,10.8,-2.8218058886475608,zscore,,,,,,2
146,2015-01-31,M2_YoY,10.8,-4.626086249721001,stl,,,,,,2
147,2015-01-31,PPI_YoY,-4.3202,-2.6602224918815858,zscore,,,,,,2
148,2015-02-28,PPI_YoY,-4.7976,-3.078746009489716,zscore,,,,,,1
149,2015-03-31,M1_M2_scissors,-8.7,-4.037946766541955,stl,,,,,,2
150,2015-03-31,PPI_YoY,-4.5603,-2.5350743354567267,zscore,,,,,,2
151,2015-04-30,M2_YoY,10.1,-2.9492731019362637,zscore,,,,,,2
152,2015-04-30,M2_YoY,10.1,-6.579123407812128,stl,,,,,,2
153,2015-05-31,M2_YoY,10.8,-4.5583642419984045,stl,,,,,,1
154,2015-06-30,M1_M2_scissors,-7.500000000000001,-4.6194843816674265,stl,,,,,,1
155,2015-06-30,M1_YoY,4.3,-7.279798987929974,stl,,,,,,1
156,2015-07-31,M1_M2_scissors,-6.700000000000001,-4.505823736039008,stl,,,,,,1
157,2015-08-31,PPI_YoY,-5.9227,-2.6734182822744024,zscore,,,,,,1
158,2015-10-31,M1_M2_scissors,0.5,2.7362054148732367,zscore,,,,,,1
159,2015-11-30,M1_M2_scissors,2.0,2.989695145666909,zscore,,,,,,1
160,2015-12-31,M1_M2_scissors,1.8999999999999984,2.576170688746729,zscore,,,,,,1
161,2016-01-31,M1_M2_scissors,4.600000000000001,3.154247772156986,zscore,,,,,,1
162,2016-01-31,M1_YoY,18.6,2.775195505821523,zscore,,,,,,1
163,2016-02-29,M1_M2_scissors,4.099999999999998,2.6737882840570344,zscore,,,,,,1
164,2016-03-31,M1_M2_scissors,8.700000000000001,3.5795265677424917,zscore,,,,,,2
165,2016-03-31,M1_M2_scissors,8.700000000000001,5.454426743767968,stl,,,,,,2
166,2016-03-31,M1_YoY,22.1,3.1964858298106895,zscore,,,,,,2
167,2016-03-31,M1_YoY,22.1,7.55716833352047,stl,,,,,,2
168,2016-04-30,M1_M2_scissors,10.099999999999998,3.312488774670134,zscore,,,,,,2
169,2016-04-30,M1_M2_scissors,10.099999999999998,6.849938461897019,stl,,,,,,2
170,2016-04-30,M1_YoY,22.9,2.9453121147796546,zscore,,,,,,2
171,2016-04-30,M1_YoY,22.9,7.395919010526314,stl,,,,,,2
172,2016-05-31,M1_M2_scissors,11.9,3.176555018746954,zscore,,,,,,2
173,2016-05-31,M1_M2_scissors,11.9,8.293709056955514,stl,,,,,,2
174,2016-05-31,M1_YoY,23.7,2.7468835606591764,zscore,,,,,,2
175,2016-05-31,M1_YoY,23.7,7.900999010215293,stl,,,,,,2
176,2016-06-30,M1_M2_scissors,12.8,2.885391731084945,zscore,,,,,,2
177,2016-06-30,M1_M2_scissors,12.8,7.753243227329457,stl,,,,,,2
