,date,series,mean_before,mean_after,change,p_value,year
0,2011-05-31,M2_YoY,21.189722222222223,13.995555555555555,-7.194166666666668,2.2981823070142914e-10,2011
1,2011-12-31,M1_YoY,20.489166666666666,6.883333333333333,-13.605833333333333,8.348594808318043e-11,2011
2,2011-12-31,PPI_YoY,1.9886055555555555,-1.6960472222222223,-3.684652777777778,0.000551145674913829,2011
3,2011-12-31,M1_M2_scissors,-0.28222222222222215,-6.955555555555555,-6.673333333333333,1.52739412780945e-07,2011
4,2012-01-31,M1_M2_scissors,-0.1972222222222221,-7.047222222222221,-6.849999999999999,6.121096749959e-08,2012
5,2012-01-31,M2_YoY,20.65416666666667,13.8,-6.854166666666668,1.1316615458627426e-08,2012
6,2012-01-31,M1_YoY,20.456944444444442,6.752777777777776,-13.704166666666666,7.814553999171009e-11,2012
7,2012-12-31,CPI_YoY,3.773933333333333,2.047081990833333,-1.7268513424999998,6.784246954436294e-08,2012
8,2012-12-31,PPI_YoY,3.3954750000000002,-2.8938388888888897,-6.2893138888888895,4.386093793724439e-12,2012
9,2013-01-31,M2_YoY,16.331111111111106,13.394444444444446,-2.9366666666666603,5.183823639458574e-05,2013
10,2013-01-31,PPI_YoY,3.294372222222222,-3.003847222222223,-6.298219444444445,8.95391784048607e-12,2013
11,2013-10-31,CPI_YoY,3.7109388888888883,1.874912546388889,-1.8360263424999994,1.9684482334792036e-08,2013
12,2014-01-31,CPI_YoY,3.5617199144444447,1.8138370763888885,-1.7478828380555562,4.2394099234420144e-08,2014
13,2014-01-31,PPI_YoY,0.8116361111111112,-2.804166666666667,-3.6158027777777786,2.758792448999589e-05,2014
14,2014-12-31,M1_YoY,6.883333333333333,15.391666666666667,8.508333333333335,2.46969983557807e-08,2014
15,2014-12-31,M2_YoY,13.83888888888889,11.340694444444445,-2.4981944444444455,1.407416521330514e-10,2014
16,2014-12-31,M1_M2_scissors,-6.955555555555555,4.050972222222222,11.006527777777777,5.857995092442863e-11,2014
17,2015-01-31,CPI_YoY,2.42253464,1.6665445730555557,-0.7559900669444442,4.1280715262274433e-07,2015
18,2015-07-31,M1_YoY,6.9944444444444445,16.147222222222226,9.152777777777782,8.316905618036555e-11,2015
19,2015-08-31,M1_M2_scissors,-6.433333333333333,5.496377777777777,11.92971111111111,3.389990236018765e-16,2015
20,2015-12-31,PPI_YoY,-2.8938388888888897,2.666666666666666,5.560505555555556,9.874083051732455e-10,2015
21,2015-12-31,M2_YoY,13.408333333333335,10.023066666666669,-3.3852666666666664,1.5715431065029278e-12,2015
22,2016-01-31,M1_YoY,8.041666666666666,14.66111111111111,6.619444444444444,2.3987146612936082e-05,2016
23,2016-01-31,M1_M2_scissors,-5.352777777777778,4.782488888888889,10.135266666666666,1.7681950151291016e-11,2016
24,2016-07-31,M2_YoY,12.96111111111111,9.139733333333332,-3.821377777777778,2.3370606000768126e-22,2016
25,2016-08-31,PPI_YoY,-3.2640527777777777,3.5999999999999996,6.864052777777777,1.0082336667974579e-19,2016
26,2017-01-31,PPI_YoY,-2.804166666666667,3.1888888888888887,5.993055555555555,1.230698563822633e-13,2017
27,2017-01-31,M2_YoY,12.458333333333334,8.656399999999998,-3.801933333333336,3.9323953446550385e-25,2017
28,2017-10-31,CPI_YoY,1.6415764808333333,2.6555555555555563,1.013979074722223,1.4020655974723453e-06,2017
29,2017-12-31,M1_YoY,15.391666666666667,5.277777777777778,-10.11388888888889,3.0271424846499865e-10,2017
30,2017-12-31,M1_M2_scissors,4.050972222222222,-3.6573722222222225,-7.708344444444444,3.5618363460942867e-07,2017
31,2018-01-31,CPI_YoY,1.6665445730555557,2.5111111111111115,0.8445665380555558,0.00036649101691064274,2018
32,2018-01-31,M2_YoY,11.225844444444444,8.991666666666667,-2.234177777777777,1.3139034268175262e-08,2018
33,2018-07-31,M1_YoY,16.147222222222226,5.094444444444444,-11.05277777777778,1.8901205287354453e-13,2018
34,2018-08-31,M1_M2_scissors,5.496377777777777,-4.0,-9.496377777777777,8.026488680231597e-13,2018
35,2019-01-31,M1_YoY,14.66111111111111,5.188888888888888,-9.472222222222221,1.2422327378380834e-08,2019
36,2019-01-31,M1_M2_scissors,4.782488888888889,-3.9583333333333335,-8.740822222222222,8.805704071325369e-10,2019
37,2019-12-31,M2_YoY,8.72862222222222,9.991666666666667,1.2630444444444464,8.274802074730816e-06,2019
38,2020-01-31,M1_M2_scissors,-0.5036222222222223,-4.391666666666667,-3.888044444444444,0.0004014548941222339,2020
39,2020-05-31,M2_YoY,8.581022222222224,10.416666666666664,1.8356444444444406,1.936358040551402e-08,2020
40,2020-10-31,CPI_YoY,2.6555555555555563,1.0722222222222222,-1.5833333333333341,2.605900649341078e-09,2020
41,2021-01-31,CPI_YoY,2.5111111111111115,1.0388888888888888,-1.4722222222222228,4.791518655706958e-07,2021
42,2021-01-31,M2_YoY,8.991666666666667,10.38888888888889,1.3972222222222221,3.228938946599469e-05,2021
43,2021-12-31,M1_M2_scissors,-3.988888888888889,-8.058333333333334,-4.069444444444445,4.267683456500617e-09,2021
44,2021-12-31,M1_YoY,5.133333333333334,1.8916666666666666,-3.241666666666667,0.0004643266254184685,2021
